Dataset,cg_method,base,rank,alpha,rKL,rND,rRD
german,AC,dist,FAIR,0.007,0.11766204451761135,0.3155158507700576,0.003415777709852104
german,AC,dist,FAIR,0.01,0.11926743013629072,0.31398768062373844,0.003415777709852104
german,AC,dist,FAIR,0.1,0.11969095452651485,0.319604452571672,0.003415777709852104
german,AC,dist,FAIR,0.15,0.120985518964863,0.31055810657982363,0.003415777709852104
german,AC,prob,FAIR,0.007,0.007865849745896835,0.0544696248269573,0.07597670565181168
german,AC,prob,FAIR,0.01,0.007537620129687127,0.05476884508125685,0.07597670565181168
german,AC,prob,FAIR,0.1,0.007865849745896835,0.05471982492135275,0.07597670565181168
german,AC,prob,FAIR,0.15,0.007802914443701003,0.054550806047956715,0.07597670565181168
credit,AC,dist,FAIR,0.007,0.02619727003883772,0.1478726046234197,0.2616158308495449
credit,AC,dist,FAIR,0.01,0.02619727003883772,0.1478726046234197,0.2616158308495449
credit,AC,dist,FAIR,0.1,0.02619727003883772,0.1478726046234197,0.2616158308495449
credit,AC,dist,FAIR,0.15,0.02619727003883772,0.1478726046234197,0.2616158308495449
credit,AC,prob,FAIR,0.007,0.01554816451012905,0.09540640664888743,0.07466989531476637
credit,AC,prob,FAIR,0.01,0.01554816451012905,0.09540640664888743,0.07466989531476637
credit,AC,prob,FAIR,0.1,0.01554816451012905,0.09540640664888743,0.07466989531476637
credit,AC,prob,FAIR,0.15,0.01554816451012905,0.09540640664888743,0.07466989531476637
german,AC,dist,FOEIR,DPC,0.05221183476148303,0.1653894830535309,0.16955385239326937
german,AC,dist,FOEIR,DTC,0.05221117192803738,0.1648916070850626,0.16955385239326937
german,AC,dist,FOEIR,DIC,0.05269825378764909,0.17199816217876607,0.16843355584745787
german,AC,prob,FOEIR,DPC,0.03934745779643544,0.15144229812008278,0.1288868245682103
german,AC,prob,FOEIR,DTC,0.03934859697044849,0.15043764237363594,0.1288868245682103
german,AC,prob,FOEIR,DIC,0.03934104916636122,0.15169103281737134,0.1288868245682103
credit,AC,dist,FOEIR,DPC,0.039310923719246216,0.19036041416853164,0.27562431660588316
credit,AC,dist,FOEIR,DTC,0.040620981532076536,0.19036041416853164,0.27562431660588316
credit,AC,dist,FOEIR,DIC,0.03982604447872966,0.19050456691481588,0.27349247058634046
credit,AC,prob,FOEIR,DPC,0.04081172550879637,0.16608264180106638,0.15355127664749157
credit,AC,prob,FOEIR,DTC,0.035171316761778385,0.16607295259679788,0.15355127664749157
credit,AC,prob,FOEIR,DIC,0.03469234369833156,0.16607295259679788,0.15355127664749157
